customer_id,name,email,phone,address,dob,account_open_date
C1000,Norma Fisher,tammy76@example.com,459.638.2421x9489,"578 Michael Island, New Thomas, VI 68835",1962-05-26,2016-09-23
C1001,Kimberly Smith,ypage@example.net,+1-909-375-3513x9332,"714 Mann Plaza Suite 839, Seanfurt, MD 75952",1961-02-23,2020-08-11
C1002,Roberto Johnson,thomas12@example.org,8186684833,"59179 Bruce Gardens Apt. 413, Lauramouth, NE 08652",1951-07-09,2018-02-28
C1003,Colleen Montoya,johnsoncynthia@example.net,001-516-415-1090,"00869 Mary Cliff Apt. 145, Whitehaven, NH 05662",1985-04-06,2017-05-22
C1004,Jeanne Green,kmassey@example.org,001-230-922-5841x972,"564 Ann Bridge Suite 150, Dennisfort, MI 80472",1964-04-06,2021-10-12
C1005,Stephanie Nash,jenniferhughes@example.com,+1-210-893-5233x7696,"027 Jonathon Estate Suite 878, North Troyport, MP 61697",1948-01-25,2022-09-25
C1006,Zachary Schultz,monroedavid@example.org,(565)603-0089x1319,"76104 Marsh Crescent, Dennishaven, GU 85800",1988-07-24,2021-07-29
C1007,Christopher York,williamserin@example.net,659-209-7765x82369,"5515 Blake Estates Apt. 945, Haysberg, LA 15560",1977-03-16,2019-10-01
C1008,Elizabeth Vincent,turnermary@example.com,(611)787-7551x71760,"96111 Kara Circle, Smithfurt, OH 68527",1964-05-24,2023-04-21
C1009,Rachel Klein,rodneyrichardson@example.com,001-926-535-1108,"3039 Daniel Mount Suite 582, New Tonyaberg, OK 53704",1988-02-11,2022-11-14
C1010,Kathleen Stark,martha73@example.net,+1-830-655-5082x492,"18013 Billy Bridge Suite 522, Schmitthaven, MS 69943",1978-11-11,2016-03-29
C1011,Meghan Trujillo,burgessrebecca@example.org,689-767-6993x0024,"6660 Danielle Crossroad Apt. 450, South Robertfort, FM 79401",1993-06-23,2017-01-22
C1012,Brittany Hatfield,djohnson@example.com,701.572.0099x251,"09795 Tara Station Suite 264, New Michelleborough, AZ 51884",1974-12-05,2021-12-28
C1013,Joy Clarke,huberrachel@example.org,640.389.9331x8868,"16116 Jessica Burgs Suite 660, Calhounmouth, VA 33607",1950-01-07,2021-09-01
C1014,Ian Johnson,gregory35@example.org,+1-423-403-1045x093,"4203 Rogers Highway Suite 852, North Amandaport, GA 49861",2005-10-04,2018-03-03
C1015,Regina Stewart,joelwhite@example.com,(802)690-6112x64862,"75806 Smith Stream, Scottstad, LA 62221",1950-11-14,2018-10-29
C1016,Destiny Grant,lauragriffin@example.com,(766)923-7582,"3407 Smith Hills, Port Tiffanyport, ND 80344",1955-04-21,2022-11-20
C1017,Kaitlin Gregory,amysullivan@example.net,8149004689,"4391 Chad Greens Suite 851, Port Frank, MT 38471",1963-11-30,2024-07-07
C1018,Joseph Clark,jenkinscynthia@example.com,001-944-475-9221x1669,"7637 Neal Island Suite 074, Lake Tyler, FM 81915",1959-05-09,2016-02-08
C1019,James Haney,mcdanielchristopher@example.net,+1-560-350-1904x43294,"2566 Seth Station Apt. 852, East Sean, WY 51471",1973-10-01,2024-01-15
C1020,Daniel Gonzalez,brendawilliams@example.com,6313250239,"6708 Carpenter Overpass Suite 735, Bobbyton, GA 46350",1944-12-08,2020-08-07
